Titel,text,källa
Våld och krig,"Det civila dödsantalet har ökat sendan 90-talet, med visa siffror som pekar på att 90% av alla krigsoffer är icke-militära.","Stevanović, A., Frančišković, T. and Vermetten, E. (2016) Relationship of early-life trauma, war-related trauma, personality traits, and PTSD symptom severity: a retrospective study on female civilian victims of war. European Journal of Psychotraumatology, 7(1)."
Våld och krig,"“Civilian casualties among women and children quadrupled compared to the previous two-year period, and conflict-related sexual violence increased by 87 per cent in two years”",UN women (2025). Wars on women escalate as global conflicts reach record highs.
Våld och krig,"Sexuellt våld kan används som ett vapen i krig. Terroristgrupper, andra armerade grupper och krimiella näteverk avänder sexuellt våld som en taktik att incitamentera rektyering och ta kontoll över territorium.","UN women (2025). Facts and figures: women, peace, and security."
Våld och krig,"Under 2023 och 2024 fyrdubblades antalet kvinnor och barn som dödades i krig, i jämförelse med den tidigare 2 års perioden. Och 7 and 10 kvinnor som dog i konflikter dödades i Gaza. I Ukraina var 31% av de civila dödsantalen kvinnor och flickor.",UN (2025). Women and peace and security.
Våld och krig,"“In some places, girls account for nearly half of the victims of sexual violence.”",UN (2025). Women and peace and security.
Våld och krig,"I Afghanistan föder en tredjedel av kvinnor utan professionell hjälp, och en kvinna dör varannan timme till följd av graviditet, som hade kunnat motverkas genom medicinsk hjälp. Staten har även beslutat att kvinnor inte kan arbeta inom sjukvården, vilket kommer hindra mer än 36 000 barnmorskor och mer än 2 800 sjuksköterskor från att arbeta inom de närmaste åren.",UN (2025). Women and peace and security.
Våld och krig,"“Women and girls of childbearing age are primary targets for reproductive harms such as forced pregnancy, enforced sterilization and forced marriage.”",Hana Salma (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox. UNIDIR.
Våld och krig,"Barn utsätts för sexuellt våld i konflikter, och kan vara mer utsatta för tvingad rekytering till sexuella slavar och fruar. UN raporterar att 98% av de rapporterade fallen av sexuellt våld i konfliker bland barn var flickor. Sexuellt våld inom väpnade grupper siktar in sin på att rekrytera flick soldater, som oftas rekryteras som “bush wives”.",Hana Salma (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox. UNIDIR.
Våld och krig,"“Civilians also commit CRSV (conflict related sexual violence). In a survey of human rights abuses in eastern Democratic Republic of the Congo mining towns, women reported that “the most common perpetrators of rape and forced marriage were civilians, including mining bosses, neighbors, and family members”.”",Hana Salma (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox. UNIDIR.
Våld och krig,Våldtäkt kan användas som en strategi för att döda ett folk. Relationer slits sönder när kvinnor våldtas.,"Linda Jolof, Patricia Rocca, Tommy Carlsson (2022). Mitt hjärtas syster: Upplevelser av krig, tortyr och/eller flykt bland kvinnor och interventioner anpassade för dem – en litteraturstudie. Röda Korsets kompetenscenter för tortyr- och krigsskaderehabilitering."
Diplomatisk och ekonomisk representation,"Mellan 2013 och 2023 ökade medias bevakning av krig mer än sexfaldigt, däremot fokuserade endast 5% av artiklarna på kvinnors uppleverser i krig, och endast 0.04% handlade om kvinnors ledarskap i fredsarbete.","UN women (2025). Facts and figures: women, peace, and security."
Diplomatisk och ekonomisk representation,"“In 2024, women made up only 7 per cent of negotiators on average worldwide, and nearly 9 out of 10 negotiation tracks included no women negotiators at all. 18 In mediation roles, women were slightly better represented, averaging 14 per cent, but two thirds of mediation efforts did not include any woman mediator. Although women’s representation among signatories to peace agreements was comparatively higher in 2024, standing at 20 per cent of signatories, the five-year average remained low, at 11 per cent.”",UN (2025). Women and peace and security.
Diplomatisk och ekonomisk representation,Kvinnor är fortsatt underrepresenterade i diplomatiska uppdrag. Från och med 2024 bestod endast 21% av representant rollerna i UN av kvinnor.,UN (2025). Women and peace and security.
Diplomatisk och ekonomisk representation,"“There has been a noticeable drop in voluntary contributions at a time when support requested for peacebuilding and prevention efforts has increased. In 2024, the Fund approved $116 million (compared with $202 million in 2023), of which $49.9 million (43 per cent) was focused on supporting gender equality, compared to 95.8 million (47.3 per cent) in 2023.”",UN (2025). Women and peace and security.
