Titel,text,källa
Våld och krig,Under 2024 var 1 av 5 kvinnor i åldern 20–24 gifta före 18 års ålder. Barngiftemål i konfliktzoner är 14 % högre än i icke-konfliktzoner.,"UN women (2025). Facts and figures: women, peace, and security."
Våld och krig,"“Gender-based violence was assessed as severe or extreme in 22 of 25 countries that experienced humanitarian crises.”
","UN women (2025). Facts and figures: women, peace, and security."
Våld och krig,"“Between 2023 and 2024, approximately four times more children and women were killed in armed conflicts compared with 2021-2022. The Office recorded 21,480 women and 16,690 children killed in conflicts during the 2023-2024 period, with 80% of child deaths and 70% of women's deaths recorded in Gaza alone.”","UN (2025). UN data shows surge in civilian deaths in conflict globally, highlights pervasive discrimination"
Våld och krig,"Det civila dödstalet har ökat sedan 90-talet, med vissa siffror som pekar på att 90 % av alla krigsoffer är icke-militära.","Stevanović, A., Frančišković, T. and Vermetten, E. (2016) Relationship of early-life trauma, war-related trauma, personality traits, and PTSD symptom severity: a retrospective study on female civilian victims of war. European Journal of Psychotraumatology, 7(1)."
Våld och krig,"“Civilian casualties among women and children quadrupled compared to the previous two-year period, and conflict-related sexual violence increased by 87 per cent in two years”
",UN women (2025). Wars on women escalate as global conflicts reach record highs.
Våld och krig,"Sexuellt våld kan användas som ett vapen i krig. Terroristgrupper, andra väpnade grupper och kriminella nätverk använder sexuellt våld som en taktik för att incitamentera rekrytering och ta kontroll över territorier.","UN women (2025). Facts and figures: women, peace, and security."
BILD,"Untitled (Who is free to choose?), Barbra Kruger, 1990",Bild-8
Våld och krig,"Under 2023 och 2024 fyrdubblades antalet kvinnor och barn som dödades i krig, i jämförelse med den tidigare tvåårsperioden. Och 7 av 10 kvinnor som dog i konflikter dödades i Gaza. I Ukraina var 31 % av de civila dödsoffren kvinnor och flickor.",UN (2025). Women and peace and security.
Våld och krig,"“In some places, girls account for nearly half of the victims of sexual violence.”
",UN (2025). Women and peace and security.
Våld och krig,"I Afghanistan föder en tredjedel av kvinnorna utan professionell hjälp, och en kvinna dör varannan timme till följd av graviditetskomplikationer som hade kunnat motverkas genom enkel medicinsk hjälp. Staten har även beslutat att kvinnor inte ska kunna arbeta inom sjukvården, vilket kommer att hindra mer än 36 000 barnmorskor och mer än 2 800 sjuksköterskor från att arbeta inom de närmaste åren.
",UN (2025). Women and peace and security.
Våld och krig,"“Women and girls of childbearing age are primary targets for reproductive harms such as forced pregnancy, enforced sterilization and forced marriage.”
",Hana Salma (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox. UNIDIR.
Våld och krig,"Barn utsätts för sexuellt våld i konflikter och kan vara mer utsatta för tvingad rekrytering som sexuella slavar och fruar. UN rapporterar att 98 % av de rapporterade fallen av sexuellt våld i konflikter bland barn var flickor. Sexuellt våld inom väpnade grupper siktar in sin på att rekrytera flicksoldater, som oftast rekryteras till “bush wives”.",Hana Salma (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox. UNIDIR.
Våld och krig,"“Civilians also commit CRSV (conflict related sexual violence). In a survey of human rights abuses in eastern Democratic Republic of the Congo mining towns, women reported that “the most common perpetrators of rape and forced marriage were civilians, including mining bosses, neighbors, and family members”.”
",Hana Salma (2023). Addressing Weapons in Conflict-related Sexual Violence: The Arms Control and Disarmament Toolbox. UNIDIR.
Våld och krig,Våldtäkt kan användas som en strategi för att döda ett folk. Relationer slits sönder när kvinnor våldtas.,"Linda Jolof, Patricia Rocca, Tommy Carlsson (2022). Mitt hjärtas syster: Upplevelser av krig, tortyr och/eller flykt bland kvinnor och interventioner anpassade för dem – en litteraturstudie. Röda Korsets kompetenscenter för tortyr- och krigsskaderehabilitering."
Diplomatisk och ekonomisk representation,"Mellan 2013 och 2023 ökade mediernas bevakning av krig mer än sexfaldigt, däremot fokuserade endast 5 % av artiklarna på kvinnors upplevelser i krig, och endast 0.04 % handlade om kvinnors ledarskap i fredsarbete.","UN women (2025). Facts and figures: women, peace, and security."
BILD,"EMBROIDERED PAST, IMAGINED FUTURE IN CONGO, Lucie Kamuswekera",bild-4
Diplomatisk och ekonomisk representation,"“In 2024, women made up only 7 per cent of negotiators on average worldwide, and nearly 9 out of 10 negotiation tracks included no women negotiators at all. 18 In mediation roles, women were slightly better represented, averaging 14 per cent, but two thirds of mediation efforts did not include any woman mediator. Although women’s representation among signatories to peace agreements was comparatively higher in 2024, standing at 20 per cent of signatories, the five-year average remained low, at 11 per cent.”",UN (2025). Women and peace and security.
Diplomatisk och ekonomisk representation,Kvinnor är fortsatt underrepresenterade i diplomatiska uppdrag. Från och med 2024 bestod endast 21 % av representantrollerna i UN av kvinnor. ,UN (2025). Women and peace and security.
Diplomatisk och ekonomisk representation,"“There has been a noticeable drop in voluntary contributions at a time when support requested for peacebuilding and prevention efforts has increased. In 2024, the Fund approved $116 million (compared with $202 million in 2023), of which $49.9 million (43 per cent) was focused on supporting gender equality, compared to 95.8 million (47.3 per cent) in 2023.”",UN (2025). Women and peace and security.
BILD,"Maintaining war graves, Olive Edis, 1919",bild-9
